Id,FileName,1,1.1,,,,,,,component,subcomponents
486,efficientdet/iou_utils_test.py,efficientdet/iou_utils_test.py,efficientdet/iou_utils_test.py,,,12,"10:assertAllClose, 2:assertAlmostEqual","approximate the reduced sum using assertAlmostEqual/ assertAllClose, ",,iou losses function utility file,"iou, ciou, diou, giou, iou_zero_target, iou_multiple_anchors, iou_multiple_anchors_mixed, ciou_grad"
514,efficientdet/keras/efficientdet_keras_test.py,efficientdet/keras/efficientdet_keras_test.py,efficientdet/keras/efficientdet_keras_test.py,,,16,"9:assertAllClose, 1:assertAllCloseAccordingToType, 6:assertAllEqual/assertEqual","approximate feature map using assertAllCloseAccordingToType, approximate feature_network using assertAllClose, approximate model output using assertAllClose, compare variable names, model variables",,"EfficientDet Keras, irregular_shape, model_output, eager_output, build_feature_network, model_variables, resample_feature_map, resample_var_names, ",
549,efficientdet/model_inspect_test.py,efficientdet/model_inspect_test.py,efficientdet/model_inspect_test.py,,,16,"3:assertEqual, 9:assertTrue, 4:assertFalse","inspect my checking if the file path exists, saved model exists, ",,Model Inspector,"dry_run, freeze_model, bm, eval_ckpt, infer, saved_model, saved_model_fp16, saved_model_infer, saved_model_infer_dynamic_batch, saved_model_graph_infer, "
636,efficientdet/keras/util_keras_test.py,efficientdet/keras/util_keras_test.py,efficientdet/keras/util_keras_test.py,,,1,assertAllClose,approximate the expected results with normalized output using assertAllClose,,Keras Utility file,"batch normalization, Call batch norm layer with is_training parameter"
768,efficientdet/det_model_fn_test.py,efficientdet/det_model_fn_test.py,efficientdet/det_model_fn_test.py,,,2,assertAllClose,"approximate presmooth with unsmooth using assertAllClose, approximate output, ",,Focal Loss function,"legacy_focal_loss, focal_loss_with_label_smoothing, sigmoid_cross_entropy_with_logits"
810,efficientdet/keras/postprocess_test.py,efficientdet/keras/postprocess_test.py,efficientdet/keras/postprocess_test.py,,,11,assertAllClose,approximation all test output with defined ,,postprocess,"postprocess with global nms, postprocess_per_class_numpy_nms, postprocess_per_class_tf_nms, transform_detections, postprocess_combined"
830,efficientdet/keras/train_lib_test.py,efficientdet/keras/train_lib_test.py,efficientdet/keras/train_lib_test.py,,,16,"7:assertAllClose, 1:assertAlmostEqual, 5:assertEqual/assertAllEqual, 3:assertLen","approximate gradient comparizon, approximate fit results, approximate inference results, approximate train results, compare predict len with defined, approximate the losses with assertAlmostEqual, compare lr value equal, ",,Train Lib,"display_callback, learning rate schedule, losses, predict, train_on_batch, infer_on_batch, fit, recompute_grad, "
962,efficientdet/keras/fpn_configs_test.py,efficientdet/keras/fpn_configs_test.py,efficientdet/keras/fpn_configs_test.py,,,3,assertEqual,compare nodes to structured json string,,Feature Pyramid Network (fpn) utility file,"bifpn_l3l7, bifpn_l2l7, qufpn_dynamic_l3l7, "
973,efficientdet/dataloader_test.py,efficientdet/dataloader_test.py,efficientdet/dataloader_test.py,,,1,assertEqual,compare the parsed len with defined,,Data loader,dataset_parser/ Data loader and processing test cases
1008,efficientdet/keras/wbf_test.py,efficientdet/keras/wbf_test.py,efficientdet/keras/wbf_test.py,,,16,assertAllClose,approximate results with assertAllClose,,Weighted box fusion,"detection_iou_same, detection_iou_corners, detection_iou_ends, detection_iou_none, detection_iou_vector, find_matching_cluster_matches, find_matching_cluster_best_overlap, weighted_average, average_detections, ensemble_boxes, "
1178,efficientdet/aug/mosaic_test.py,efficientdet/aug/mosaic_test.py,efficientdet/aug/mosaic_test.py,,,2,assertEqual,compare the data output shape,,Data augumentation using Mosaic Augmentation,"mosaic_boxes, mosaic_tiny_images, "
1269,efficientdet/coco_metric_test.py,efficientdet/coco_metric_test.py,efficientdet/coco_metric_test.py,,,5,"4:assertAllClose, 1:assertEqual","approximate coco metrice, check the size of metrice/ len ",,common object in context (coco) data format/ database/ metrics,"test_mAP/ groundtruth_data, class labels"
1339,efficientdet/keras/inference_test.py,efficientdet/keras/inference_test.py,efficientdet/keras/inference_test.py,,,31,"25:assertEqual, 2:assertLen, 4:assertTrue","simply compare the shape of class, valid_lens, scores, boxes; compare the tf.reduce_mean(valid_lens), compare len, check if saved data/model exists, ",,Inference,"export, export_tflite_only_network, export_tflite_with_post_processing, inference, inference_without_ema, network_inference, inference_mixed_precision, "
1371,efficientdet/keras/inspector_test.py,efficientdet/keras/inspector_test.py,efficientdet/keras/inspector_test.py,,,5,"3:assertTrue, 1:assertFalse, 1:assertIsNot","inspect my checking if the file path exists, saved model exists, dry run to check train.get_checkpoint_state is not none",,Keras Model inspect tests,"test_dry, infer, benchmark, export"
1413,efficientdet/aug/gridmask_test.py,efficientdet/aug/gridmask_test.py,efficientdet/aug/gridmask_test.py,,,3,assertEqual,verify transformed results sof the image hape using assertEqual,,Data augumentation/ GridMask Augmentation,"gridmask_images/ Verify transformed image shape is valid and syntax check, gridmask_tiny_images/ Verify transform image shape on rectangle image, "
1498,efficientdet/test.sh,efficientdet/test.sh,efficientdet/test.sh,,Run test,,,,,Running Test config file,pylint
1614,efficientdet/test_util.py,,efficientdet/test_util.py,,,,,,,Test utilities,"make_fake_tfrecord/ Makes fake TFRecord to test input, "
